topic,issue_number,title,url,state,labels,created_at,updated_at,last_seen_at,archived_at,archive_reason,linked_pr_status,difficulty,component,learning_value,fixability,my_status,notes,next_action
attention_kernels,25179,[Performance]: Custom fused kernel tracking,https://github.com/vllm-project/vllm/issues/25179,open,"performance, torch.compile",2025-09-18T15:31:02Z,2026-04-29T22:06:48Z,2026-05-05T05:54:14+00:00,2026-05-01T21:27:51+00:00,linked_pr,linked,,,,,archived_linked_pr,,
attention_kernels,32267,[Feature]: Kernels Attention Test cleanup,https://github.com/vllm-project/vllm/issues/32267,open,feature request,2026-01-13T15:36:07Z,2026-03-08T13:17:30Z,2026-05-05T05:54:14+00:00,,,unlinked,,,,,new,,
attention_kernels,33733,[Tracking issue]: Integrate flashinfer optimizations (DeepSeek),https://github.com/vllm-project/vllm/issues/33733,open,"performance, feature request, deepseek",2026-02-03T21:25:02Z,2026-02-05T18:56:41Z,2026-05-05T05:54:14+00:00,,,unlinked,,,,,new,,
attention_kernels,33772,[Usage]: about the Chinese documents,https://github.com/vllm-project/vllm/issues/33772,open,usage,2026-02-04T07:21:09Z,2026-02-04T18:08:38Z,2026-05-05T05:54:14+00:00,,,unlinked,,,,,new,,
attention_kernels,34122,[Feature]: Add MLA attention backend for Turing,https://github.com/vllm-project/vllm/issues/34122,open,feature request,2026-02-09T06:38:41Z,2026-02-12T11:34:25Z,2026-05-05T05:54:14+00:00,,,unlinked,,,,,new,,
attention_kernels,34444,[RFC]: Decoupled Attention/FFN Parallelism,https://github.com/vllm-project/vllm/issues/34444,open,RFC,2026-02-12T17:07:32Z,2026-02-19T21:40:51Z,2026-05-05T05:54:14+00:00,2026-05-01T21:34:43+00:00,linked_pr,linked,,,,,archived_linked_pr,,
attention_kernels,34910,[Bug]: the embeddings from vllm does not match hugging face sentence-transformer,https://github.com/vllm-project/vllm/issues/34910,open,bug,2026-02-19T19:27:18Z,2026-03-25T10:33:52Z,2026-05-05T05:54:14+00:00,,,unlinked,,,,,new,,
attention_kernels,35190,[Feature]: Support for multiple embedding types in a single inference call,https://github.com/vllm-project/vllm/issues/35190,open,feature request,2026-02-24T12:30:33Z,2026-02-26T23:11:24Z,2026-05-05T05:54:14+00:00,,,unlinked,,,,,new,,
attention_kernels,35792,[Feature]: Support MLA attention + quant fusions,https://github.com/vllm-project/vllm/issues/35792,open,feature request,2026-03-02T19:37:37Z,2026-04-30T23:41:40Z,2026-05-05T05:54:14+00:00,2026-05-01T21:34:43+00:00,linked_pr,linked,,,,,archived_linked_pr,,
attention_kernels,35807,[Feature]: Performance Tuning of FlashInfer MLA Sparse,https://github.com/vllm-project/vllm/issues/35807,open,feature request,2026-03-02T21:50:14Z,2026-03-17T04:37:30Z,2026-05-05T05:54:14+00:00,,,unlinked,,,,,new,,
